sku,supplier,ai_major_category_he,ai_major_category_slug,ai_subcategory_he,ai_subcategory_slug,ai_confidence
KR9715,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
2110,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
1866,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.95
1403,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.9
KR6120,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
1527,Comfort,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.9
1431,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.99
KR1187,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.9
OM2110,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
1755,Comfort,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.95
1680,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.99
KR9101,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.95
KR8008,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
KR1110,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.9
KR219,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR275,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
1857,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.99
SP889,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
KR3032,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.99
1713,Comfort,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.85
KR9468,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR5106,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
1829,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
KR7050,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
KR1060,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
3035,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.75
390,Comfort,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
KR565,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
1946,Comfort,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.95
KR6989,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
2083,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
KR232,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR4050,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.8
1673,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.9
1573,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.85
2028,Comfort,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
KR6857,Kraus,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
KR9128,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.9
KR6710,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
1719,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
KR9357,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.9
KR731,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
KR7320,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.88
2114,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.9
2087,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.92
OM447,Kraus,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
1613,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.88
KR3214,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.92
SP995,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.88
1912,Comfort,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR303,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR9261,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.92
KR1021,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.95
KR210,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.78
2065,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
GB112,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR2610,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.93
KR6949,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.8
KR6725,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
KR9223,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.92
KR7028,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.85
KR4053,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR5030,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.98
731,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.75
1556,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.82
1907,Comfort,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR238,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR455,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR6532,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.85
1969,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
KR9302,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.9
KR9378,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR542,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
SW609,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
1880,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
1465,Comfort,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.8
KR8911,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.75
2011,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
1343,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR5801,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR899,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
KR609,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.95
KR2900,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.9
1868,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.95
KR6742,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
KR4951,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
1686,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
1730,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
KR9747,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
1420,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.9
1586,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.75
1362,Comfort,יודאיקה ומתנות,judaica-gifts,יודאיקה,judaica,0.95
1862,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.95
SN240,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR9148,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.95
KR822,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.95
KR671,Kraus,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.9
KR1151,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.9
1646,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
2047,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.95
KR5113,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
1826,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
KR3530,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
1333,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.8
SW1000,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.95
1432,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
2054,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
KR6770,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.8
KR213,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
KR7918,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.95
1979,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.86
KR6871,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.8
KR4979,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.85
KR3249,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
782,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR2213,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
KR6410,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.8
KR3100,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
KR6439,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.8
2058,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
1560,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
1918,Comfort,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
1884,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.8
1727,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.9
1725,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
KR5050,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
1478,Comfort,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
OM6110,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
KR2224,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
KR5200,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.85
2022,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.9
1790,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.85
KR8067,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
1737,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.8
KR9853,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
KR9712,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
OM6310,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.9
1990,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.95
GB559,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR714,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.7
KR9065,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.88
KR6555,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.8
GB580,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
KR9322,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
KR7714,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
1905,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.92
KR6999,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.92
SW575,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.75
KR6826,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.65
GB435,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.85
KR5020,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR878,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR6123,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
1321,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR6022,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
KR9421,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.92
OM2043,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.9
1450,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
1784,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.9
KR9630,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.88
1628,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
KR3957,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.85
KR9316,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.92
KR3015,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.65
KR289,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.9
KR265,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.9
1917,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
1778,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.9
1770,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.92
KR5199,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
2080,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
1881,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.9
KR4024,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR920,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.85
KR8041,Kraus,ביגוד וטקסטיל,apparel-textiles,טקסטיל לבית ולחוף,home-beach-textiles,0.9
219,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
1472,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.9
1523,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
KR2370,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
KR9763,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
1677,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
1463,Comfort,יודאיקה ומתנות,judaica-gifts,יודאיקה,judaica,0.9
KR6943,Kraus,ביגוד וטקסטיל,apparel-textiles,טקסטיל לבית ולחוף,home-beach-textiles,0.95
KR9505,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
KR5852,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.7
KR6115,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
1299,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.85
1920,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
1805,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.95
1908,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.95
KR3004,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
1307,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR750,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.95
KR9221,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.95
2051,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.8
KR1065,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.95
OM2000,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.95
KR5350,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.9
KR6861,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.7
KR5107,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR6800,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
KR2350,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
2035,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.95
KR623,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
KR6066,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
2057,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.95
KR7555,Kraus,ביגוד וטקסטיל,apparel-textiles,טקסטיל לבית ולחוף,home-beach-textiles,0.9
KR2952,Kraus,ביגוד וטקסטיל,apparel-textiles,טקסטיל לבית ולחוף,home-beach-textiles,0.9
2031,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.9
KR6954,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
1662,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
1758,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.85
2076,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
2017,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.95
1337,Comfort,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
1574,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.85
KR2146,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
OM6121,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
363,Comfort,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR1061,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
2070,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.95
KR3252,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
1414,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
1836,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
1416,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.9
1636,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.9
1534,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.85
1824,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR220,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
KR1190,Kraus,יודאיקה ומתנות,judaica-gifts,יודאיקה,judaica,0.9
1690,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.85
KR6917,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.85
KR7511,Kraus,ביגוד וטקסטיל,apparel-textiles,טקסטיל לבית ולחוף,home-beach-textiles,0.85
1961,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.85
KR6124,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.85
1721,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.85
KR5907,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.85
1895,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.85
1086,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.85
KR9718,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.85
MI4014,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.85
2075,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.85
GB655,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.85
KR1041,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.85
OM6157,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.85
